Número de neurônios, Instâncias corretamente classificadas,Erro absoluto médio , Desvio padrão  ,Iterações
"(4)",1.0,0.0099884362966171283,7.2717849123439554e-06,1901.9000000000001
"(8)",1.0,0.0099806487677790746,1.4425478259007553e-05,1752.5999999999999
"(2, 2)",1.0,0.0099795652357449766,1.0900983090785125e-05,2313.6999999999998
"(2, 4)",1.0,0.0099702121560378467,2.5603818038364876e-05,1945.8
"(4, 4)",1.0,0.0099726817954833812,1.7959912837457812e-05,1448.0
"(8, 8)",1.0,0.0099692390936134169,2.1310711357623479e-05,1043.8
"(4, 4, 4)",1.0,0.009954999022751352,3.3947945244917202e-05,2131.0999999999999
"(8, 8, 8)",1.0,0.0099182506961838952,6.5150419429454558e-05,1177.2
"(4, 8, 4)",1.0,0.0099631460274098634,2.0249547374456978e-05,2164.5
"(8, 4, 8)",1.0,0.0099489429706732593,2.8496989112077463e-05,1339.9000000000001

