Número de neurônios, Instâncias corretamente classificadas,Erro absoluto médio , Desvio padrão  ,Iterações
"(13)",1.0,0.0099821788504971774,1.0842290786227791e-05,1750.3
"(26)",1.0,0.0099737292074567972,2.0210028282375541e-05,1630.0999999999999
"(6, 6)",1.0,0.0099986641488506688,1.6706956215470268e-06,7831.6000000000004
"(6, 13)",1.0,0.009998522678343006,1.4425192913487285e-06,14341.9
"(13, 13)",1.0,0.0099986427652771544,1.4394386191049674e-06,7756.0
"(26, 26)",1.0,0.0099418489163697332,6.076446981630396e-05,646.10000000000002
"(13, 13, 13)",1.0,0.0097205907478043942,0.00014003244683146311,686.89999999999998
"(26, 26, 26)",1.0,0.0098873177457152826,5.912665809758658e-05,438.10000000000002
"(13, 26, 13)",1.0,0.0099238300686232996,6.0849817854995302e-05,561.89999999999998
"(26, 13, 26)",1.0,0.0098996790278836014,5.7009363263897393e-05,498.39999999999998
